table_id,sentence_id,sub_sentence_id,text,coordinates,input_text,aggregation,output_text
1635,9264,1,heart disease [ANSWER],"[[3, 0], [3, 0]]",diseases of heart diseases of heart,kth-argmax,"the second leading cause of death was heart disease, accounting for 20.7% of deaths to senior women in 2012 and 22.1% of deaths to senior men"
1635,9265,1,cerebrovascular disease [ANSWER],"[[4, 0], [4, 0]]",cerebrovascular diseases cerebrovascular diseases,kth-argmax,cerebrovascular disease was the third leading cause of death for senior women (7.0% of deaths) and the fourth leading cause for senior men (5.2% of deaths)
1635,9266,1,chronic lower respiratory diseases [ANSWER],"[[5, 0], [5, 0]]",chronic lower respiratory diseases chronic lower respiratory diseases,kth-argmax,chronic lower respiratory diseases were the fourth most common cause of death among senior women (4.9%)
1637,9272,1,"(5, 4) (5, 2)","[[5, 4], [5, 2]]",93.0 76.0,none,"during the course of an average day in 2015, the participation rate of mothers in household work remained higher than that of fathers"
1637,9275,1,"fathers (5, 1) (5, 2)","[[1, 1], [5, 1], [5, 2]]",men 51.0 76.0,none,"among fathers, however, participation in household work increased by 25 percentage points, from 51% in 1986 to 76% in 2015"
1637,9278,1,"(5, 6)","[[5, 6]]",145.0,div,"in 2015, on days when they had performed household work, fathers had spent an average of 2.4 hours"
1637,9279,1,"(5, 8)","[[5, 8]]",181.0,div,"among those who had performed household work, the average duration was 3.0 hours per day in 2015,"
1638,9281,1,"fathers (6, 1)","[[1, 1], [6, 1]]",fathers 65.0,none,there were 65% of fathers who had worked 8 hours or more in household work
1638,9282,1,"fathers no hours (4, 3)","[[1, 3], [4, 0], [4, 3]]",fathers no hours 225.0,none,"among fathers who had not participated in paid work but who had performed household work during the reference day, the average time spent on household work was 225 minutes"
1638,9283,1,"8 or more hours (6, 3)","[[6, 0], [6, 3]]",8 or more hours 77.0,none,"among fathers who had participated in paid work 8 or more hours,the average time spent on household work was 77 minutes for those who had worked 8 hours or more during the day"
1639,9287,1,"mothers 8 or more hours (6, 2)","[[1, 2], [6, 0], [6, 2]]",mothers 8 or more hours 60.0,none,"among parents having participated in 8 hours or more of paid work during the day, 60% of mothers had provided help or care to their children"
163_totto19416-1,0,1,"passing yards 2002 (2, 4)","[[1, 4], [2, 0], [2, 4]]",yds 2002.0 415.0,none,"in 2002 as a freshman, shockley completed 32-of-52 passes (61.5%) for 415 yards with five touchdowns and a pass efficiency rating of 152.62"
1641,9291,1,"37,054 people police contact only (2, 6)","[[0, 5], [2, 0], [2, 6]]",total police contact only 58.0,none,"of the 37,054 people,more than half (58%) only had contact with police"
1641,9292,1,"37,054 people from policing to courts and through to corrections (4, 6)","[[0, 5], [4, 0], [4, 6]]",total police through to corrections 19.0,none,"of the 37,054 people,19% moved through the entire system, from policing to courts and through to corrections"
1642,9294,1,"through to correctional services (8, 6) (4, 6)","[[1, 5], [8, 6], [4, 6]]",police through to corrections 100.0 27.0,diff,"of the 6,900 people whose pathway took them through to correctional services, just under 3 in 4 (73%) had a re-contact with police for a new offence after the completion of their first pathway"
1642,9295,1,"in the court system (4, 4) (8, 4)","[[1, 3], [4, 4], [8, 4]]",police to courts 49.0 100.0,diff,"64% of people whose completed pathway involved only contact with police and half (51%) of the individuals whose first contact ended in the court system, came back into contact with police for a new offence"
1642,9297,1,"(14, 4) (10, 4)","[[14, 4], [10, 4]]",100.0 39.0,diff,over 6 in 10 (61%) youth who completed their first pathway in the court system had at least one re-contact with police
1642,9298,1,"(10, 6) (14, 6)","[[10, 6], [14, 6]]",16.0 100.0,diff,"this was even more pronounced among youth in the corrections group, where 84% had at least one subsequent contact with police following their correctional involvement"
1642,9301,1,"5 or more re-contacts (7, 4)","[[7, 0], [7, 4]]",5 or more re-contacts 11.0,none,20% of those whose initial pathway involved only contact with police and 11% of offenders whose initial pathway was completed in courts had 5 or more re-contacts with the system
1642,9302,1,"(13, 4) (19, 4)","[[13, 4], [19, 4]]",19.0 10.0,div,youth whose first pathway ended in courts or corrections were almost twice as likely as adults to have 5 or more re-contacts with police following their first contact
1642,9303,1,"had 5 or more re-contact (13, 4)","[[13, 0], [13, 4]]",5 or more re-contacts 19.0,none,approximately one in five youth (19%) who completed their first pathway in the court system had 5 or more re-contacts with police by the end of the study period
1642,9304,1,"(13, 6)","[[13, 6]]",49.0,none,close to half (49%) of youth who had contact with corrections had 5 or more re-contacts with police
1647,9332,1,"cbd holders ubd holders [ANSWER] business, management and public administration health and related fields","[[1, 3], [1, 6], [1, 3], [18, 0], [23, 0]]","bachelor's degree bachelor's degree bachelor's degree business, management and public administration health and related fields",greater_than,"cbd holders are far more likely than ubd holders to have taken programs typically associated with relatively high pay, such as business, management and public administration or health and related fields"
1647,9333,1,"cbd holders ubd holders [ANSWER] education, humanities or social and behavioural sciences and law","[[1, 3], [1, 6], [1, 3], [17, 0]]",bachelor's degree bachelor's degree bachelor's degree social and behavioural sciences and law,less_than,"cbd holders are less likely than ubd holders to have taken programs typically associated with relatively low pay, such as education, humanities or social and behavioural sciences and law"
1648,9337,1,"graduation, sex, age, age squared (9, 1)","[[4, 0], [6, 0], [5, 0], [9, 1]]",graduation year sex age at graduation -1001.0,opposite,"after year of graduation, sex, age, age squared, province of institution and field of study (denoted by the two-digit 2011 cip codes for primary groupings) are accounted for, cbd holders earn $1,001 less than ubd holders"
1648,9338,1,"wages and salaries field of study (7, 1)","[[0, 1], [7, 0], [7, 1]]",wages and salaries field of study 5255.0,none,"$5,255 (or 89.0%) of the gap in the wages and salaries between cbd and ubd holders could be explained by differences in field of study choices"
1648,9339,1,"explained (5, 1)","[[3, 0], [5, 1]]",explained 1440.0,none,"a further $1,440 (or 24.4%) could be explained by the fact that cbd holders are more than two years older than ubd holders"
1649,9343,1,"respondents subpopulation (2, 1)","[[0, 1], [0, 2], [2, 1]]",sample population estimates 26429.0,none,"further analysis focused on the subpopulation who reported chronic pain-26,429 respondents"
1649,9343,2,"subpopulation who reported chronic pain (2, 2)","[[0, 2], [2, 2]]",population estimates 5595.1,none,"further analysis focused on the subpopulation who reported chronic pain-26,429 respondents (10,165 men and 16,264 women), representing 5.6 million people"
164_totto19502-0,0,1,"league goals blackburn rovers totally (12, 4)","[[1, 4], [8, 0], [12, 1], [12, 4]]",goals blackburn rovers total 112.0,none,alan sheare's final tally for blackburn rovers was 112 goals in the premier league and 130 in all competitions
164_totto19519-2,0,1,"receptions 2017 (3, 4)","[[1, 4], [3, 0], [3, 4]]",rec 2017.0 63.0,none,robby anderson finished 2017 season with 63 receptions for 941 receiving yards and 7 receiving touchdowns
164_totto19545-3,0,1,"combined tackles 2013 (8, 5)","[[1, 4], [8, 0], [8, 5]]",comb 2013.0 88.0,none,"weddle finished the 2013 season with 115 combined tackles (88 solo), two interceptions, two fumble recoveries, a forced fumble, and a sack in 16 games and 16 starts"
164_totto19576-4,0,1,1968-69 [ANSWER],"[[2, 1], [2, 0]]",1968-69 leicester city,none,alistair brown began his career at leicester city in 1968-69
1654,9376,1,"financial support primary care receivers (21, 3)","[[1, 3], [11, 0], [21, 3]]",financial support age of primary care receiver 37.0,none,"among those who lived with their primary care receivers, 37% reported receiving some form of financial support"
1654,9376,2,"financial support primary care receivers less than 10 minutes by car (22, 3)","[[1, 3], [11, 0], [22, 0], [22, 3]]",financial support age of primary care receiver less than 10 minutes by car 15.0,none,"among those who lived with their primary care receivers, 15% of those who lived less than 10 minutes away by car"
1654,9376,3,"financial support primary care receivers between 10 and 29 minutes away by car (23, 3)","[[1, 3], [11, 0], [23, 0], [23, 3]]",financial support age of primary care receiver 10 to 29 minutes by car 11.0,none,"among those who lived with their primary care receivers, 11% of those who lived between 10 and 29 minutes away by car"
1654,9380,1,"receiving some form of support less than once a month (31, 1)","[[1, 1], [31, 0], [31, 1]]",any type of support less than once a month 59.0,none,about 59% of caregivers who visited their primary care receiver less than once a month reported receiving some form of support
1654,9380,2,"daily (34, 1)","[[34, 0], [34, 1]]",daily 73.0,none,the figure was 73% among those who reported daily visits
1655,9383,1,"35 and 64 (7, 1)","[[7, 0], [7, 1]]",35 to 64 34.0,none,a higher proportion of caregivers between the ages of 35 and 64 reported having unmet caregiving support needs
1655,9383,2,"34 and younger (6, 1)","[[6, 0], [6, 1]]",15 to 34 25.0,none,a proportion of caregivers between the ages of 34 and younger reported having unmet caregiving support needs
1655,9383,3,"65 and older (8, 1)","[[8, 0], [8, 1]]",65 and older 28.0,none,a proportion of caregivers between the ages of 65 and older reported having unmet caregiving support needs
1656,9391,1,"same household (19, 1)","[[19, 0], [19, 1]]",same household or building 40.0,none,about 40% of caregivers who lived in the same household as their care recipient said that their support needs were not met
1656,9391,2,"between 10 and 29 minutes away by car (21, 1)","[[21, 0], [21, 1]]",10 to 29 minutes by car 25.0,none,about 25% of those who lived between 10 and 29 minutes away by car
1656,9395,1,"less than once a month (29, 1)","[[29, 0], [29, 1]]",less than once a month 24.0,none,24% of caregivers who visited their primary care receiver less than once a month reported that they would have liked to have received more support
1656,9395,2,"daily (32, 1)","[[32, 0], [32, 1]]",daily 29.0,none,the figure was 29% among caregivers who said they visited their primary care receiver daily
1657,9396,1,"high school diploma or less among canadian (3, 1)","[[1, 1], [3, 0], [3, 1]]",high school diploma or less canada 0.11,none,"specifically, among canadian youth from the third generation or more whose parents had a high school diploma or less, the predicted probability (adjusted for other factors) of having a university degree was 11%"
1657,9398,1,"had a high school diploma or less east asia (15, 1)","[[1, 1], [15, 0], [15, 1]]",high school diploma or less east asia 0.62,none,"for youth with an immigrant background from east asia whose parents had a high school diploma or less, their probability of having a university degree was 62%"
1657,9398,2,"a university degree canadian (3, 4)","[[1, 4], [3, 0], [3, 4]]","university certificate, diploma or degree above bachelor level canada 0.4",none,canadian youth from the third generation or more whose parents had a university degree above the bachelor level
1658,9402,1,"2017 2016 (32, 15)","[[32, 0], [31, 0], [32, 15]]",2017.0 2016.0 48.0,none,"in 2017, police reported 660 homicide victims in canada, 48 more than in 2016"
1659,9404,1,"canada 2017 (32, 14)","[[0, 14], [32, 0], [32, 14]]",canada 2017.0 1.8,none,the national homicide rate in canada in 2017
1659,9406,1,"british columbia (32, 10)","[[0, 10], [32, 10]]",b.c 2.45,none,"with 2.45 homicides per 100,000 population, british columbia's homicide rate increased by 32%"
165_totto19585-0,0,1,"regular season games during his career (35, 3)","[[0, 3], [1, 3], [35, 1], [35, 3]]",regular season gp nhl career totals 215.0,none,"berthiaume played in a total of 215 regular season nhl games during his career, posting a record of 81-21"
165_totto19614-1,0,1,"games canucks (14, 2)","[[1, 2], [14, 0], [14, 2]]",g van total 529.0,none,"with canucks, crawford marked himself as the longest-serving and winningest head coach in history, coaching 529 games and 246 wins"
165_totto19620-2,0,1,"receptions 2014 (3, 2)","[[1, 2], [3, 0], [3, 2]]",receptions 2014.0 20.0,none,"for sophomore year, cantrell made 20 receptions for 312 yards and 2 touchdowns in 2014"
165_totto19628-3,0,1,"first run neha ahuja women's slalom (3, 2)","[[1, 2], [2, 0], [3, 1], [3, 2]]",run 1 neha ahuja women's slalom 55.45,none,"neha ahuja competed in the women's slalom finishing her first run in 55.45 seconds, and her second in 1 minute and 0.71 seconds"
1661,9432,1,"2017 british columbia (12, 1)","[[1, 1], [12, 0], [12, 1]]",2017.0 british columbia 44.0,none,"in 2017, of the 44 gang-related homicides that occurred in british columbia"
1661,9437,1,"2017 saskatchewan (10, 2)","[[1, 1], [10, 0], [10, 2]]",2017.0 saskatchewan 13.5,none,"of the 37 total homicides in saskatchewan in 2017, 14% (or 5 homicides) were gang-related"
1661,9437,2,"2017 saskatchewan (10, 6)","[[1, 1], [10, 0], [10, 6]]",2017.0 saskatchewan 24.5,none,"of the 37 total homicides in saskatchewan in 2016, 24% (or 13 homicides) were gang-related"
1664,9458,1,"toronto (3, 2)","[[3, 0], [3, 2]]",toronto 58.0,none,"among the cmas, firearm-related homicides predominantly occurred in the five largest cmas of toronto"
1664,9458,2,"vancouver (5, 2)","[[5, 0], [5, 2]]",vancouver 25.0,none,"among the cmas, firearm-related homicides predominantly occurred in the cmas of vancouver"
1664,9458,3,"edmonton (7, 2)","[[7, 0], [7, 2]]",edmonton 19.0,none,"among the cmas, firearm-related homicides predominantly occurred in the cmas of edmonton"
1664,9458,4,"montreal (4, 2)","[[4, 0], [4, 2]]",montreal 17.0,none,"among the cmas, firearm-related homicides predominantly occurred in the cmas of montreal"
1664,9458,5,"calgary (6, 2)","[[6, 0], [6, 2]]",calgary 15.0,none,"among the cmas, firearm-related homicides predominantly occurred in the cmas of calgary"
1664,9460,1,"2017 2016 toronto (3, 6)","[[0, 2], [0, 4], [3, 0], [3, 6]]",2017.0 2016r toronto 7.0,none,"with a total of 58, there were 7 more homicides committed with a firearm in toronto in 2017 than in 2016"
1664,9462,1,"halifax (17, 6)","[[17, 0], [17, 6]]",halifax -7.0,none,the largest declines in firearm-related homicides among the cmas occurred in halifax
1664,9462,2,"ottawa (8, 6)","[[8, 0], [8, 6]]",ottawa -5.0,none,the declines in firearm-related homicides among the cmas occurred in ottawa
1664,9462,3,"montreal (4, 6)","[[4, 0], [4, 6]]",montreal -5.0,none,the declines in firearm-related homicides among the cmas occurred in montreal
1667,9478,1,"non-aboriginal (9, 3)","[[0, 3], [9, 3]]",non-aboriginal 38.0,none,the average age for non-aboriginal victims was 38 years
1667,9478,2,"aboriginal (9, 1)","[[0, 1], [9, 1]]",aboriginal 32.3,none,the average age for aboriginal victims was 32 years of age
1667,9481,1,"aboriginal accused persons (10, 1)","[[0, 1], [10, 0], [10, 1]]",aboriginal accused persons 26.8,none,the average age for aboriginal accused persons was 27 years old
1667,9481,2,"non-aboriginal accused persons (10, 3)","[[0, 3], [10, 0], [10, 3]]",non-aboriginal accused persons 33.0,none,the average age for non-aboriginal accused persons was 33 years old
166_83_tab2,280,1,"fy 2016 federally funded r&d (2, 7)","[[0, 6], [2, 0], [2, 7]]",2016.0 all federal r&d expenditures 2.5,none,"in current dollars, federally funded r&d at universities increased 2.5% in fy 2016"
166_83_tab2,280,2,"fy 2016 federally funded r&d (2, 6)","[[0, 6], [2, 0], [2, 6]]",2016.0 all federal r&d expenditures 38794.0,none,"in current dollars, federally funded r&d at universities increase $38.8 billion in fy 2016"
166_83_tab2,281,1,"fy 2011 federally funded expenditures (1, 1) (2, 1)","[[0, 1], [2, 0], [1, 1], [2, 1]]",2011.0 all federal r&d expenditures 65274.0 40768.0,div,"in fy 2011, federally funded expenditures was 62.5% of total r&d expenditures"
166_83_tab2,281,2,"fy 2016 federally funded expenditures (1, 6) (2, 6)","[[0, 6], [2, 0], [1, 6], [2, 6]]",2016.0 all federal r&d expenditures 71833.0 38794.0,div,"in fy 2016, federally funded expenditures was 54.0% of total r&d expenditures"
166_83_tab2,282,1,"nonfederal funding sources (10, 7)","[[10, 0], [10, 7]]",all nonfederal r&d expenditures 7.6,none,"all of the nonfederal funding sources showed increases from fy 2015 to fy 2016, in total rising 7.6% in fy 2016"
166_83_tab2,282,2,"nonfederal funding sources (10, 6)","[[10, 0], [10, 6]]",all nonfederal r&d expenditures 33040.0,none,"all of the nonfederal funding sources showed increases from fy 2015 to fy 2016, in total rising to $33.0 billion in fy 2016"
166_83_tab2,283,1,nonprofit organizations expenditures funded [ANSWER],"[[14, 0], [10, 0], [14, 0]]",nonprofit organizations all nonfederal r&d expenditures nonprofit organizations,none,"expenditures funded by nonprofit organizations had the largest increase, up 9.4% to $4.6 billion"
166_totto19680-0,0,1,2015 [ANSWER],"[[11, 1], [11, 0]]",2015.0 astana,none,"shchotkin left taraz in 2014, signed with the kazakhstan premier league of astana in 2015"
166_totto19805-4,0,1,dawn of the dragon racers [ANSWER],"[[1, 7], [2, 7]]",dawn of the dragon racers 2014.0,none,"a short film, titled dawn of the dragon racers, was released in 2014"
1670,9492,1,"quebec bilingual in english and french in 2016 (6, 3)","[[1, 3], [0, 1], [6, 3]]",quebec english-french bilingualism rate in 2016 93.5,none,"of the children and youth aged 5 to 17 in 2006 with french as a mother tongue in canada outside quebec, 93% were bilingual in english and french in 2016"
1670,9493,1,"english as a mother tongue (8, 2)","[[8, 0], [8, 2]]",english 12.0,none,12% of their counterparts with english as a mother tongue
1670,9493,2,"other than english or french (11, 2)","[[11, 0], [11, 2]]",other language 12.6,none,13% for those who had a mother tongue other than english or french
1670,9495,1,"quebec bilingual in english and french in 2016 english as a mother tongue (8, 3)","[[1, 3], [0, 1], [8, 0], [8, 3]]",quebec english-french bilingualism rate in 2016 english 86.9,none,"in quebec, 87% of children and youth with english as a mother tongue were bilingual in english and french in 2016"
1670,9495,2,"quebec french as a mother tongue (9, 3)","[[1, 3], [9, 0], [9, 3]]",quebec french 61.4,none,"in quebec, 61% of their counterparts with french as a mother tongue"
1670,9495,3,"quebec other than english or french (11, 3)","[[1, 3], [11, 0], [11, 3]]",quebec other language 86.0,none,"in quebec, 86% of those with a mother tongue other than english or french"
1670,9496,1,"bilingual in english and french in 2016 french as a mother tongue (9, 5)","[[0, 1], [9, 0], [9, 5]]",english-french bilingualism rate in 2016 french 0.66,none,"when other factors were taken into account in the multivariate model, the predicted probability of being bilingual in english and french in 2016 was higher for children and youth with french as a mother tongue"
1670,9496,2,"bilingual in english and french in 2016 english as a mother tongue (8, 5)","[[0, 1], [8, 0], [8, 5]]",english-french bilingualism rate in 2016 english 0.61,none,"when other factors were taken into account in the multivariate model, the predicted probability of being bilingual in english and french in 2016 was higher for children and youth with english as a mother tongue"
1671,9499,1,"quebec bachelor's degree (28, 2)","[[1, 2], [28, 0], [28, 2]]",quebec bachelor's degree 72.7,none,the english-french bilingualism acquisition rate in 2016 was 73% for youth in quebec whose parents had a bachelor's degree
1671,9499,2,"quebec high school diploma (26, 2)","[[1, 2], [26, 0], [26, 2]]",quebec high school diploma 47.5,none,the english-french bilingualism acquisition rate in 2016 was 48% for youth in quebec whose parents had a high school diploma
1671,9507,1,"quebec retention rates (6, 4)","[[1, 4], [0, 3], [6, 4]]",quebec retention of bilingualism in 2016 among those who were already bilingual in 2006 95.6,none,the retention rates for quebec children and youth who were bilingual in english and french in 2006 were approximately 95% for all age groups
1671,9509,1,quebec aged 14 to 17 aged 5 to 7 [ANSWER],"[[1, 2], [16, 0], [13, 0], [16, 0]]",quebec 14 to 17 years 5 to 7 years 14 to 17 years,less_than,"in canada outside quebec, bilingual youth aged 14 to 17 in 2006 had a lower retention rate (56%) than that observed in children aged 5 to 7 the same year"
1674,9525,1,private schools [ANSWER] sectarian,"[[0, 2], [0, 2], [2, 0]]",private high school private high school sectarian,greater_than,private schools were more likely to be sectarian
1674,9525,2,private schools [ANSWER] semester mode,"[[0, 2], [0, 2], [3, 0]]",private high school private high school semestered,less_than,private schools were less likely to follow a semester mode
1674,9526,1,private schools [ANSWER] enrollment,"[[0, 2], [0, 2], [4, 0]]",private high school private high school enrolment,less_than,average student enrollment was considerably lower in private schools
1674,9526,2,public schools [ANSWER] student-teacher ratio,"[[0, 1], [0, 1], [5, 0]]",public high school public high school student-teacher ratio,greater_than,the student-teacher ratio was slightly higher than in public schools
1674,9527,1,private schools [ANSWER] annual number of instructional hours,"[[0, 2], [0, 2], [6, 0]]",private high school private high school total annual instructional hours,less_than,the average annual number of instructional hours was moderately lower in private schools
1674,9528,1,private schools [ANSWER] number of computers per student,"[[0, 2], [0, 2], [7, 0]]",private high school private high school number of computers per student,greater_than,the average number of computers per student was slightly higher in private schools
1674,9532,1,"public school principals hindered learning ""some"" or ""a lot,"" (16, 1)","[[0, 1], [16, 0], [16, 1]]",public high school hinder learning some or a lot 0.089,none,"a factor that stands out was the extent to which teachers' low expectations hindered learning: 9% of public school principals reported that low expectations from teachers hindered learning ""some"" or ""a lot,"""
1674,9532,2,"private school principals hindered learning ""some"" or ""a lot,"" (16, 2)","[[0, 2], [16, 0], [16, 2]]",private high school hinder learning some or a lot 0.005,none,"a factor that stands out was the extent to which teachers' low expectations hindered learning: 0.5% of private school principals reported that low expectations from teachers hindered learning ""some"" or ""a lot,"""
1674,9533,1,"private schools peers with a university-educated parent (22, 2)","[[0, 2], [22, 0], [22, 2]]",private high school percentage of peers with university educated parent 51.7,none,"in private schools, 52% of students had peers with a university-educated parent"
1674,9533,2,"public schools peers with a university-educated parent (22, 1)","[[0, 1], [22, 0], [22, 1]]",public high school percentage of peers with university educated parent 27.7,none,"in public schools, 28% of students had peers with a university-educated parent"
1674,9534,1,"private school quebec (24, 2)","[[0, 2], [24, 0], [24, 2]]",private high school quebec 0.559,none,more than half (56%) of all private school students were in quebec
1674,9534,2,"public school ontario (25, 1)","[[0, 1], [25, 0], [25, 1]]",public high school ontario 0.484,none,close to half (48%) of all public school students were in ontario
1674,9535,1,"private school british columbia (29, 2)","[[0, 2], [29, 0], [29, 2]]",private high school british columbia 0.223,none,british columbia accounted for 22% of private school students
1674,9535,2,"public school british columbia (29, 1)","[[0, 1], [29, 0], [29, 1]]",public high school british columbia 0.159,none,british columbia accounted for 16% of public school students
1677,9541,1,"private school reading test (2, 3)","[[0, 2], [2, 0], [2, 3]]",private high school log of reading score 0.081,none,"in the reading test, private school students outperformed their public school counterparts by 0.081 log points"
1677,9543,1,"private school graduated from high school (5, 2)","[[0, 2], [5, 0], [5, 2]]",private high school high school graduation 0.988,none,"by age 23, 99% of private school students had graduated from high school"
1677,9543,2,"private school public school students graduated from high school (5, 2) (5, 1)","[[0, 2], [0, 1], [5, 0], [5, 2], [5, 1]]",private high school public high school high school graduation 0.988 0.955,diff,"by age 23, 99% of private school students had graduated from high school, about 3 percentage points above the figure for public school students"
1678,9550,1,"school resources and practices (5, 5)","[[1, 5], [5, 5]]",school resources and practices covariates 0.13,none,"school resources and practices accounted for, at most, 13% of the gaps, and at times, their contribution was negative"
167_83_tab3,284,1,"fy 2016 health sciences biological and biomedical (11, 2) (12, 2) (30, 2) (1, 2)","[[0, 2], [12, 0], [11, 0], [11, 2], [12, 2], [30, 2], [1, 2]]",2016.0 health sciences biological and biomedical sciences 13048981.0 22393716.0 11381727.0 71833308.0,div,"higher education r&d has long been heavily concentrated in three fields, which together accounted for 65.2% of the total spent in fy 2016: health sciences ($22.4 billion), biological and biomedical sciences ($13.0 billion), and engineering"
167_83_tab3,285,1,fy 2016 [ANSWER],"[[0, 2], [40, 0]]",2016.0 non-s&e,argmax,"among the broad fields, r&d expenditures within non-science and engineering fields saw the largest growth in fy 2016, increasing 14.9% to $4.1 billion"
167_totto19838-1,0,1,"heat time helen glover and heather stanning pair (2, 2)","[[0, 2], [1, 2], [2, 0], [2, 1], [2, 2]]",heats time helen glover heather stanning pair 6:57.29 or,none,"in the heats of the pair, helen glover and heather stanning set an olympic record with a time of six minutes and 57.29 seconds"
167_totto19869-4,0,1,1988-89 [ANSWER],"[[7, 1], [7, 0]]",1988-89 wolves,none,tim steele moved from shrewsbury to wolves in the third division in 1988-89
1680,9569,1,"employment rate high school diploma (5, 1)","[[0, 1], [5, 0], [5, 1]]",employment rate high school graduate 69.3,none,"in 2015, the employment rate of women with a high school diploma was 69.3%"
1680,9569,2,"employment rate university degree (10, 1)","[[0, 1], [10, 0], [10, 1]]",employment rate university degree 83.1,none,"in 2015, the employment rate of women with a university degree was 83.1%"
1680,9569,3,"employment rate high school diploma university degree (10, 1) (5, 1)","[[0, 1], [5, 0], [10, 0], [10, 1], [5, 1]]",employment rate high school graduate university degree 83.1 69.3,diff,"in 2015, the employment rate of women with a high school diploma was 69.3% compared to 83.1% for those with a university degree-a difference of 13.8 percentage points"
1680,9570,1,"employment rate high school diploma (5, 2)","[[0, 1], [5, 0], [5, 2]]",employment rate high school graduate 81.9,none,the employment rate of men with a high school diploma was 81.9%
1680,9570,2,"employment rate university degree (10, 2)","[[0, 1], [10, 0], [10, 2]]",employment rate university degree 89.9,none,the employment rate of men with a university degree was 89.9%
1680,9570,3,"employment rate high school diploma university degree (5, 2) (10, 2)","[[0, 1], [5, 0], [10, 0], [5, 2], [10, 2]]",employment rate high school graduate university degree 81.9 89.9,diff,the employment rate of men with a high school diploma was 81.9% compared to 89.9% for those with a university degree-a difference of 8.0 percentage points
1685,9607,1,2015 women men [ANSWER] proportion,"[[1, 2], [0, 1], [0, 3], [0, 1], [2, 1]]",2015.0 women men women percent,argmax,the proportion of women in the 20 occupations is overall greater than men in the same jobs in 2015
1685,9607,1(1),2015 women men [ANSWER] proportion,"[[1, 2], [0, 1], [0, 3], [1, 4], [2, 1]]",2015.0 women men 2015.0 percent,none,the proportion of women in the 20 occupations is overall greater than men in the same jobs in 2015
1685,9608,1,"women (3, 2)","[[0, 1], [3, 2]]",women 56.1,none,"around 56.0% of women were employed in occupations involving the ""5 cs"": caring, clerical, catering, cashiering and cleaning"
1685,9609,1,"1987 women (3, 1)","[[1, 1], [0, 1], [3, 1]]",1987.0 women 59.2,none,"around 59.2% of women were employed in occupations involving ""5 cs"" in 1987"
1685,9609,1(1),2015 1987 women [ANSWER],"[[1, 2], [1, 1], [0, 1], [1, 1]]",2015.0 1987.0 women 1987.0,pair-argmax,"the proportion of women employed in occupations involving ""5 cs"" is greater in 1987 than it is in 2015"
1685,9610,1,"2015 men secondary and elementary school teachers and educational counsellors (3, 4)","[[1, 4], [0, 3], [4, 0], [3, 4]]",2015.0 men secondary and elementary school teachers and educational counsellors 17.1,none,17.1% of men were employed in occupations like secondary and elementary school teachers and educational counsellors in 2015
1685,9610,1(1),"men 1987 secondary and elementary school teachers and educational counsellors (3, 3)","[[0, 3], [1, 3], [4, 0], [3, 3]]",men 1987.0 secondary and elementary school teachers and educational counsellors 15.7,none,15.7% of men were employed in occupations like secondary and elementary school teachers and educational counsellors in 1987
1685,9610,1(2),men 2015 1987 [ANSWER] traditionally-female occupations,"[[0, 3], [1, 4], [1, 3], [1, 4], [4, 0]]",men 2015.0 1987.0 2015.0 secondary and elementary school teachers and educational counsellors,pair-argmax,"17.1% of men were employed in traditionally-female occupations in 2015, compared to 15.7% in 1987"
1688,9620,1,"women working in nursing (15, 1)","[[0, 1], [15, 0], [15, 1]]",women professional occupations in nursing 35.37,none,the average hourly wage for professional women working in nursing was $35.37 in 2015
1688,9620,1(1),"men working in natural and applied science (14, 2)","[[0, 2], [14, 0], [14, 2]]",men professional occupations in natural and applied sciences 39.85,none,the average hourly wage for professional men working in natural and applied science was $39.85 in 2015
1688,9620,1(2),"men women working in nursing professional occupations in natural and applied science (14, 2) (15, 1)","[[0, 2], [0, 1], [15, 0], [14, 0], [14, 2], [15, 1]]",men women professional occupations in nursing professional occupations in natural and applied sciences 39.85 35.37,diff,the hourly wage difference between professional women working in nursing and men with professional occupations in natural and applied science is $4.48 in 2015
1688,9621,1,"women administrative occupations (21, 1)","[[0, 1], [21, 0], [21, 1]]",women administrative and financial supervisors and administrative occupations 25.11,none,the average hourly wage for women in administrative occupations was $25.11
1688,9621,1(1),"men construction-related trades (30, 2)","[[0, 2], [30, 0], [30, 2]]","men industrial, electrical and construction trades 29.76",none,the average hourly wage for men in construction-related trades was $29.76
168_83_tab4,286,1,"(25, 5)","[[25, 5]]",34.6,none,"new york university rose 12 spots from number 35 in fy 2015 to number 23 in fy 2016, with a 34% increase"
168_83_tab4,286,2,"(25, 4)","[[25, 4]]",810.0,none,"new york university rose 12 spots from number 35 in fy 2015 to number 23 in fy 2016, with a increase to $810 million"
168_totto19902-1,0,1,"games career (19, 2)","[[1, 2], [19, 0], [19, 2]]",g career 266.0,none,julius peppers played 266 games in his career
169_totto19945-0,0,1,she works hard for the money [ANSWER],"[[12, 1], [12, 0]]",she works hard for the money 1983.0,none,"in 1983, donna summer's ""she works hard for the money"" was released by mercury record label"
169_totto19986-1,0,1,2012-13 [ANSWER],"[[2, 1], [2, 0]]",2012-13 river plate,none,espindola began his career with primera division club river plate in 2012-13
